date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:32:45	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Jul%202022%2016:32:44%20GMT	http://html.meetup.templaza.net/robots.txt		(from )
09:32:46	160582/160582	---M-Z	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202016%2019:20:52%20GMT	http://html.meetup.templaza.net/	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/index.html	(from )
09:32:47	121260/121260	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:33:02%20GMT	http://html.meetup.templaza.net/css/bootstrap.min.css	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/css/bootstrap.min.css	(from http://html.meetup.templaza.net/)
09:32:47	27466/27466	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:33:00%20GMT	http://html.meetup.templaza.net/css/font-awesome.min.css	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/css/font-awesome.min.css	(from http://html.meetup.templaza.net/)
09:32:49	4918/4918	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:33:02%20GMT	http://html.meetup.templaza.net/css/jquery.bxslider.css	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/css/jquery.bxslider.css	(from http://html.meetup.templaza.net/)
09:32:50	1142/1142	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:33:04%20GMT	http://html.meetup.templaza.net/css/owl.theme.default.min.css	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/css/owl.theme.default.min.css	(from http://html.meetup.templaza.net/)
09:32:50	3592/3592	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:33:02%20GMT	http://html.meetup.templaza.net/css/owl.carousel.min.css	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/css/owl.carousel.min.css	(from http://html.meetup.templaza.net/)
09:32:51	14524/14524	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:32:58%20GMT	http://html.meetup.templaza.net/css/component.min.css	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/css/component.min.css	(from http://html.meetup.templaza.net/)
09:32:51	11554/11554	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:33:04%20GMT	http://html.meetup.templaza.net/css/plusgallery.css	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/css/plusgallery.css	(from http://html.meetup.templaza.net/)
09:32:52	5514/5514	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:33:04%20GMT	http://html.meetup.templaza.net/css/simple.css	C:/My%20Web%20Sites/nook/html.meetup.templaza.net/css/simple.css	(from http://html.meetup.templaza.net/)
